"Annual Net emissions/removals, Production and Implied emission factor "
Query results for — Party: Australia and 44 other(s) | Year: 1990 and 3 other(s) | Category: 2.B  Chemical Industry and 31 other(s) | Classification: Total for category | Type of value: Net emissions/removals and 2 other(s) | Gas: Aggregate GHGs and 8 other(s) | Unit: kt and 4 other(s)

 ,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020)
Australia,2.B.8.d  Ethylene Oxide,NA,NA,NA,,,,IE,IE,IE,,,,,,,"IE,NA",,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,NA,,,,IE,IE,IE,,,,,,,"IE,NA",,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,NA,,,,IE,IE,IE,,,,,,,"IE,NA",,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,NA,,,,IE,IE,IE,,,,,,,"IE,NA",,,,,,,,NA,NA,,,,,,,,,,,,,
Australia,2.B.8.e  Acrylonitrile,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,,NO,NO,NO,,,,NO,NO,NO,,,,,,,NO,,,,,,,,NO,NO,,,,,,,,,,,,,
Australia,2.B.8.f  Carbon Black,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,,IE,IE,IE,,,,NO,NO,NO,,,,,,,"IE,NO",,,,,,,,NO,"IE,NO",,,,,,,,,,,,,
Australia,2.B.8.g  Other,0.437626074,437.62607399999996,10.94065185,,,,NO,NO,NO,,,,,,,10.94065185,,,,,,,,,,,,,,,,,,,,,,,0.5786838,578.6838,14.467094999999999,,,,NO,NO,NO,,,,,,,14.467095,,,,,,,,,,,,,,,,,,,,,,,0.5777636,577.7636,14.444090000000001,,,,NO,NO,NO,,,,,,,14.44409,,,,,,,,,,,,,,,,,,,,,,,0.4336,433.59999999999997,10.84,,,,NO,NO,NO,,,,,,,10.84,,,,,,,,,,,,,,,,,,,,,,
Australia,2.B.9  Fluorochemical Production,,,,NO,NO,NO,,,,,,,NO,NO,NO,1424.68352,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,
Australia,2.B.9.a  By-Product Emissions,,,,,,,,,,,,,,,,1424.68352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
Australia,2.B.9.a.i  Production of HCFC-22,,,,,,,,,,,,,,,,1424.68352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,
Australia,2.B.9.b  Fugitive Emissions,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,
Australia,2.B.9.b.iii  Other,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,
Australia,2.B.10  Other,NO,NO,NO,NO,NO,NO,95.73072144583858,95730.72144583859,95.73072144583858,NO,NO,NO,NO,NO,NO,95.73072144583858,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,124.3048757824217,124304.8757824217,124.3048757824217,NO,NO,NO,NO,NO,NO,124.3048757824217,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,130.9217569581977,130921.7569581977,130.9217569581977,NO,NO,NO,NO,NO,NO,130.9217569581977,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,19.31615816037614,19316.15816037614,19.31615816037614,NO,NO,NO,NO,NO,NO,19.31615816037614,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,
